date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:25	112/112	---M-Z	200	added ('OK')	text/plain	date:Tue,%2004%20Feb%202025%2015:35:05%20GMT	https://askit.dextheme.net/robots.txt		(from )
16:35:32	191016/191016	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2015:35:26%20GMT	https://askit.dextheme.net/shieldx/template-kit/home/	C:/My%20Web%20Sites/shield/askit.dextheme.net/shieldx/template-kit/home/index.html	(from )
16:35:33	53269/53269	---M-Z	200	added ('OK')	text/css	etag:%22d015-67949288-6086aeeebc0595;gz%22	https://askit.dextheme.net/shieldx/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.27.1	C:/My%20Web%20Sites/shield/askit.dextheme.net/shieldx/wp-content/plugins/elementor/assets/css/frontend.mindb68.css	(from https://askit.dextheme.net/shieldx/template-kit/home/)
16:35:34	14620/14620	---M-Z	200	added ('OK')	text/css	etag:%22391c-6696652d-411f60628f005897;gz%22	https://askit.dextheme.net/shieldx/wp-content/uploads/sites/18/elementor/css/post-379.css?ver=1721132333	C:/My%20Web%20Sites/shield/askit.dextheme.net/shieldx/wp-content/uploads/sites/18/elementor/css/post-3795add.css	(from https://askit.dextheme.net/shieldx/template-kit/home/)
16:35:34	20095/20095	---M-Z	200	added ('OK')	text/css	etag:%224e7f-6696652d-c6e25bcb94bbe3e0;gz%22	https://askit.dextheme.net/shieldx/wp-content/uploads/sites/18/elementor/css/post-406.css?ver=1721132333	C:/My%20Web%20Sites/shield/askit.dextheme.net/shieldx/wp-content/uploads/sites/18/elementor/css/post-4065add.css	(from https://askit.dextheme.net/shieldx/template-kit/home/)
16:35:35	1130/1130	---M-Z	200	added ('OK')	text/css	etag:%2246a-66acab38-521f7a3925f82afc;gz%22	https://askit.dextheme.net/shieldx/wp-content/plugins/template-kit-export/assets/public/template-kit-export-public.css?ver=1.0.23	C:/My%20Web%20Sites/shield/askit.dextheme.net/shieldx/wp-content/plugins/template-kit-export/assets/public/template-kit-export-public982a.css	(from https://askit.dextheme.net/shieldx/template-kit/home/)
16:35:36	4719/4719	---M-Z	200	added ('OK')	text/css	etag:%22126f-6794928c-43ff796e4943a1f9;gz%22	https://askit.dextheme.net/shieldx/wp-content/plugins/metform/public/assets/lib/cute-alert/style.css?ver=3.9.3	C:/My%20Web%20Sites/shield/askit.dextheme.net/shieldx/wp-content/plugins/metform/public/assets/lib/cute-alert/style657a.css	(from https://askit.dextheme.net/shieldx/template-kit/home/)
16:35:37	22474/22474	---M-Z	200	added ('OK')	text/css	etag:%2257ca-6794928c-ab779509bb587d90;gz%22	https://askit.dextheme.net/shieldx/wp-content/plugins/metform/public/assets/css/text-editor.css?ver=3.9.3	C:/My%20Web%20Sites/shield/askit.dextheme.net/shieldx/wp-content/plugins/metform/public/assets/css/text-editor657a.css	(from https://askit.dextheme.net/shieldx/template-kit/home/)
16:35:37	5501/5501	---M-Z	200	added ('OK')	text/css	etag:%22157d-67949296-9b756dec1777532b;gz%22	https://askit.dextheme.net/shieldx/wp-content/themes/hello-elementor/style.min.css?ver=3.3.0	C:/My%20Web%20Sites/shield/askit.dextheme.net/shieldx/wp-content/themes/hello-elementor/style.min9b70.css	(from https://askit.dextheme.net/shieldx/template-kit/home/)
16:35:38	5069/5069	---M-Z	200	added ('OK')	text/css	etag:%2213cd-67949296-2f6137b023eb14fd;gz%22	https://askit.dextheme.net/shieldx/wp-content/themes/hello-elementor/theme.min.css?ver=3.3.0	C:/My%20Web%20Sites/shield/askit.dextheme.net/shieldx/wp-content/themes/hello-elementor/theme.min9b70.css	(from https://askit.dextheme.net/shieldx/template-kit/home/)
